Time,GeoType,GeoID,GeoRank,Geography,AverageIncome
2017,UHF42,101,4,Kingsbridge - Riverdale,"$35,564"
2017,UHF42,102,4,Northeast Bronx,"$35,564"
2017,UHF42,103,4,Fordham - Bronx Pk,"$35,564"
2017,UHF42,104,4,Pelham - Throgs Neck,"$35,564"
2017,UHF42,105,4,Crotona -Tremont,"$35,564"
2017,UHF42,106,4,High Bridge - Morrisania,"$35,564"
2017,UHF42,107,4,Hunts Point - Mott Haven,"$35,564"
2017,UHF42,201,4,Greenpoint,"$48,758"
2017,UHF42,202,4,Downtown - Heights - Slope,"$48,758"
2017,UHF42,203,4,Bedford Stuyvesant - Crown Heights,"$48,758"
2017,UHF42,204,4,East New York,"$48,758"
2017,UHF42,205,4,Sunset Park,"$48,758"
2017,UHF42,206,4,Borough Park,"$48,758"
2017,UHF42,207,4,East Flatbush - Flatbush,"$48,758"
2017,UHF42,208,4,Canarsie - Flatlands,"$48,758"
2017,UHF42,209,4,Bensonhurst - Bay Ridge,"$48,758"
2017,UHF42,210,4,Coney Island - Sheepshead Bay,"$48,758"
2017,UHF42,211,4,Williamsburg - Bushwick,"$48,758"
2017,UHF42,301,4,Washington Heights,"$175,960"
2017,UHF42,302,4,Central Harlem - Morningside Heights,"$175,960"
2017,UHF42,303,4,East Harlem,"$175,960"
2017,UHF42,304,4,Upper West Side,"$175,960"
2017,UHF42,305,4,Upper East Side,"$175,960"
2017,UHF42,306,4,Chelsea - Clinton,"$175,960"
2017,UHF42,307,4,Gramercy Park - Murray Hill,"$175,960"
2017,UHF42,308,4,Greenwich Village - SoHo,"$175,960"
2017,UHF42,309,4,Union Square - Lower East Side,"$175,960"
2017,UHF42,310,4,Lower Manhattan,"$175,960"
2017,UHF42,401,4,Long Island City - Astoria,"$46,829"
2017,UHF42,402,4,West Queens,"$46,829"
2017,UHF42,403,4,Flushing - Clearview,"$46,829"
2017,UHF42,404,4,Bayside - Little Neck,"$46,829"
2017,UHF42,405,4,Ridgewood - Forest Hills,"$46,829"
2017,UHF42,406,4,Fresh Meadows,"$46,829"
2017,UHF42,407,4,Southwest Queens,"$46,829"
2017,UHF42,408,4,Jamaica,"$46,829"
2017,UHF42,409,4,Southeast Queens,"$46,829"
2017,UHF42,410,4,Rockaways,"$46,829"
2017,UHF42,501,4,Port Richmond,"$54,908"
2017,UHF42,502,4,Stapleton - St. George,"$54,908"
2017,UHF42,503,4,Willowbrook,"$54,908"
2017,UHF42,504,4,South Beach - Tottenville,"$54,908"
